australian_appl_no,patent_status_type,examination_section_name,invention_description
2006318399,GRANTED,MECH 2 - Construction and Mining,Torque-angle instrument
2006318400,GRANTED,CHEM 2 - Chemical Compounds,Nuclear receptor binding agents
2006318417,GRANTED,ELEC 3 - Computing,System and method for searching and matching data having ideogrammatic content
2006318419,CEASED,CHEM 2 - Chemical Compounds,Adducts of levulinic derivatives with epoxidized fatty acid esters and uses thereof
2006318425,GRANTED,CHEM 1 - Biotechnology,System and method for cleaning noisy genetic data and using data to make predictions
2006318427,GRANTED,MECH 4 - Medical Devices,A storage device for storing multiple recorded media
2006318428,LAPSED,,Method of modulating stress-activated protein kinase system
2006318429,LAPSED,CHEM 2 - Chemical Compounds,Methods and compositions for the treatment of gastrointestinal disorders
2006318433,LAPSED,,A method of processing annotations using an editable multi-dimensional catalog
2006318435,LAPSED,,Devices and methods for high-pressure refolding of proteins
2006318438,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Molecular conjugate
2006318445,GRANTED,CHEM 2 - Chemical Compounds,Processes for reducing contaminating michael acceptor levels in oxycodone and other compositions
2006318447,LAPSED,,Methods of using small molecule compounds for neuroprotection
2006318449,GRANTED,CHEM 2 - Chemical Compounds,Activin-actrIIa antagonists and uses for promoting bone growth
2006318453,LAPSED,,Location toolbar for internet search and communication
2006318459,LAPSED,,Animal instrumentation
2006318462,LAPSED,,Multiplex digital immuno-sensing using a library of photocleavable mass tags
2006318464,GRANTED,"Vacant - A1 PBR, Plants and Biotechnology",Immunostimulatory oligoribonucleotides
2006318473,GRANTED,MECH 1 - Mechanical Engineering,Internal combustion engine
2006318475,GRANTED,CHEM 2 - Chemical Compounds,Glycerol levulinate ketals and their use
2006318476,LAPSED,CHEM 2 - Chemical Compounds,Substituted aryloxypropylamines with serotoninergic and/or norepinephrinergic activity
2006318477,LAPSED,,"Devices, systems, and methods for stabilization or fixation of magnetic force devices used in or on a body"
2006318498,LAPSED,,Non-snag polymer ligating clip
2006318507,LAPSED,CHEM 2 - Chemical Compounds,Carbamate compounds as 5-HT4 receptor agonists
2006318514,LAPSED,ELEC 3 - Computing,"Method and system for collecting, tracking and reporting consumer data to improve marketing practices for merchants and banks"
2006318527,LAPSED,CHEM 2 - Chemical Compounds,Thrombopoietin activity modulating compounds and methods
2006318528,LAPSED,MECH 4 - Medical Devices,"Devices and methods for treating facet joints, uncovertebral joints, costovertebral joints and other joints"
2006318531,LAPSED,MECH 4 - Medical Devices,Method and composition for repair and reconstruction of intervertebral discs and other reconstructive surgery
2006318537,LAPSED,,Antibody treatment of Alzheimer's and related diseases
2006318539,GRANTED,CHEM 1 - Biotechnology,Methods and compositions related to B cell assays
2006318550,LAPSED,CHEM 1 - Biotechnology,Intraocular pressure-regulated early genes and uses thereof
2006318552,GRANTED,CHEM 1 - Biotechnology,Broccoli type having curds with detached florets
2006318558,LAPSED,,Methods of treating ischemic related conditions
2006318572,GRANTED,MECH 4 - Medical Devices,System and method of monitoring respiratory events
2006318580,LAPSED,,Compositions and methods of producing hybrid antigen binding molecules and uses thereof
2006318583,LAPSED,CHEM 3 - Pharmaceuticals,Immunoglobulin fusion protein formulations
2006318584,GRANTED,ELEC 3 - Computing,Systems and methods for providing valid responses to requests for quotations
2006318589,LAPSED,,Process for producing a silicon nitride compound
2006318596,LAPSED,,Rubber compositions comprising unsaturated imidoalkoxysilanes
2006318607,GRANTED,MECH 1 - Mechanical Engineering,Seating accessory
2006318608,LAPSED,,Optical article having anti-theft feature and a system and method for inhibiting theft of same
2006318610,GRANTED,MECH 3 - Process Engineering,Use of compositions comprising triclopyr butoxyethyl ester for the control of woody plants
2006318616,LAPSED,MECH 4 - Medical Devices,Instrument for implanting a wrist prosthesis
2006318617,GRANTED,MECH 4 - Medical Devices,Precision ablating device
2006318620,GRANTED,MECH 1 - Mechanical Engineering,Powder dispensing and sensing apparatus and methods
2006318632,GRANTED,MECH 4 - Medical Devices,Fiber optic closure methods and apparatus
2006318638,GRANTED,MECH 1 - Mechanical Engineering,"Aircraft trailing edge devices, including devices with non-parallel motion paths, and associated methods"
2006318640,CEASED,CHEM 2 - Chemical Compounds,Beta-secretase modulators and methods of use
2006318643,CEASED,CHEM 2 - Chemical Compounds,Beta-secretase modulators and methods of use
2006318645,GRANTED,MECH 2 - Construction and Mining,Method for monitoring fluid properties
2006318648,GRANTED,ELEC 2 - Electronics and Communications,Micro-hydrocarbon analysis
2006318652,LAPSED,MXT - Mixed Technology,Metabolite derivatives of the HDAC inhibitor FK228
2006318653,LAPSED,,Method for detecting an inflammatory disease or cancer
2006318655,GRANTED,CHEM 3 - Pharmaceuticals,Compositions for disrupting and inhibiting reconstitution of wound biofilm
2006318658,LAPSED,MECH 3 - Process Engineering,Nanowire structures comprising carbon
2006318661,LAPSED,,Substituted 5-heteroaryl-1-phenyl-pyrazole cannabinoid modulators
2006318664,LAPSED,MXT - Mixed Technology,Wave energy recovery system
2006318673,LAPSED,,Dynamic spinal stabilization devices and systems
2006318682,GRANTED,CHEM 2 - Chemical Compounds,Pyrrolotriazine kinase inhibitors
2006318688,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Degradable chewing gum
2006318689,CEASED,CHEM 3 - Pharmaceuticals,Maxillofacial bone augmentation using rhPDGF-BB and a biocompatible matrix
2006318696,LAPSED,MECH 4 - Medical Devices,Delivery of viscous formulations by needle-free injection
2006318698,CEASED,CHEM 4 - Polymers and Applied Chemistry,Baked goods comprising high-potency sweetener
2006318700,CEASED,CHEM 4 - Polymers and Applied Chemistry,High-potency sweetener composition with antioxidant and compositions sweetened therewith
2006318708,CEASED,CHEM 4 - Polymers and Applied Chemistry,Cereal composition comprising high-potency sweetener
2006318709,CEASED,CHEM 2 - Chemical Compounds,Thiazoles for the treatment of proliferative disorders
2006318711,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Edible gel composition comprising high-potency sweetener
2006318712,CEASED,CHEM 4 - Polymers and Applied Chemistry,High-potency sweetener composition with an anti-inflammatory agent and compositions sweetened therewith
2006318718,GRANTED,MXT - Mixed Technology,In situ fructooligosaccharide production and sucrose reduction
2006318721,LAPSED,ELEC 2 - Electronics and Communications,Radio-frequency (RF) power portal
2006318722,LAPSED,,Methods to predict and prevent resistance to taxoid compounds
2006318724,WITHDRAWN,CHEM 3 - Pharmaceuticals,Methods of treating cartilage defects
2006318738,GRANTED,CHEM 1 - Biotechnology,Delta-9 elongases and their use in making polyunsaturated fatty acids
2006318745,GRANTED,ELEC 1 - Physics,Method and apparatus for inspecting a container sidewall contour
2006318748,GRANTED,MXT - Mixed Technology,Apparatus and method for ensuring rotation of a container during inspection
2006318751,CEASED,CHEM 4 - Polymers and Applied Chemistry,High-potency sweetener composition with mineral and compositions sweetened therewith
2006318752,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Confection with high-potency sweetener
2006318753,CEASED,CHEM 4 - Polymers and Applied Chemistry,High-potency sweetener composition with probiotics/prebiotics and compositions sweetened therewith
2006318764,CEASED,CHEM 4 - Polymers and Applied Chemistry,High-potency sweetener composition with phytosterol and compositions sweetened therewith
2006318765,LAPSED,CHEM 4 - Polymers and Applied Chemistry,High potency sweetener composition with saponin and compositions sweetened therewith
2006318766,CEASED,CHEM 4 - Polymers and Applied Chemistry,High-potency sweetener for weight management and compositions sweetened therewith
2006318768,LAPSED,MXT - Mixed Technology,Longitudinally reinforced cured in place liner and reinforced coating
2006318771,LAPSED,,17-allylamino-17-demethoxygeldanamycin polymorphs and formulations
2006318772,LAPSED,MXT - Mixed Technology,Inductively-coupled RF power source
2006318773,GRANTED,CHEM 2 - Chemical Compounds,Spirocyclic compounds as HDAC inhibitors
2006318781,GRANTED,CHEM 4 - Polymers and Applied Chemistry,"Natural high-potency sweetener compositions with improved temporal profile and/or flavor profile, methods for their formulation, and uses"
2006318783,GRANTED,,Condiments with high-potency sweetener
2006318788,CEASED,CHEM 4 - Polymers and Applied Chemistry,High-potency sweetener for hydration and sweetened hydration composition
2006318790,CEASED,CHEM 4 - Polymers and Applied Chemistry,High-potency sweetener composition with fatty acid and compositions sweetened therewith
2006318791,CEASED,MXT - Mixed Technology,Multipotent neural stem cells
2006318794,GRANTED,MECH 2 - Construction and Mining,Variable ignition delay for combustion nailer
2006318795,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Chewing gum with high-potency sweetener
2006318796,CEASED,CHEM 4 - Polymers and Applied Chemistry,High-potency sweetener composition with dietary fiber and compositions sweetened therewith
2006318802,GRANTED,ELEC 3 - Computing,Controlling the pressure within an annular volume of a wellbore
2006318807,LAPSED,MECH 2 - Construction and Mining,Concrete slab joint stabilizing system and apparatus
2006318813,GRANTED,ELEC 3 - Computing,Multiple dashboards
2006318815,GRANTED,CHEM 3 - Pharmaceuticals,Pharmaceutical composition
2006318823,GRANTED,MECH 1 - Mechanical Engineering,Gabions
2006318824,GRANTED,MECH 2 - Construction and Mining,Gabion
2006318825,GRANTED,MXT - Mixed Technology,Notch antenna element and array
2006318826,GRANTED,ELEC 2 - Electronics and Communications,Beam shaping for wide band array antennae
2006318832,LAPSED,,Azetidine derivatives as GlyT1 inhibitors
2006318834,LAPSED,CHEM 3 - Pharmaceuticals,Treatment of neurodegenerative disorders
2006318863,LAPSED,,Waste container
2006318865,GRANTED,CHEM 3 - Pharmaceuticals,Microgel particle
2006318873,GRANTED,ELEC 1 - Physics,Template for a superconducting coil
2006318874,GRANTED,MECH 4 - Medical Devices,Fibrous dressing
2006318880,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Composition and method
2006318887,LAPSED,,Improvements in and relating to hydrocarbon recovery from a hydrocarbon reservoir
2006318889,LAPSED,CHEM 2 - Chemical Compounds,Chemical process for the preparation of an amido-phenoxybenzoic acid compound
2006318890,LAPSED,MECH 2 - Construction and Mining,Downhole tool
2006318892,GRANTED,ELEC 3 - Computing,Electronic vouchers
2006318901,LAPSED,,Pacifying appajratus
2006318912,LAPSED,CHEM 1 - Biotechnology,Biomarkers and methods for identification of agents useful in the treatment of affective disorders
2006318919,LAPSED,,Method for identifying the genotype in position 171 of the sheep prion protein as well as kits for implementing said method
2006318923,LAPSED,,Combined sowing machine
2006318924,GRANTED,CHEM 2 - Chemical Compounds,Process for the manufacture of iohexol
2006318931,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Process for the production of organosilsesquioxanes
2006318933,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Methods of consolidating unconsolidated particulates in subterranean formations
2006318941,LAPSED,MECH 1 - Mechanical Engineering,Method and apparatus for topping vegetables
2006318945,LAPSED,,Apparatus and method for exercising abdominal muscles
2006318946,LAPSED,CHEM 3 - Pharmaceuticals,Pharmaceutical compositions
2006318948,GRANTED,CHEM 2 - Chemical Compounds,"Pyrido-,pyrazo- and pyrimido-pyrimidine derivatives as mTOR inhibitors"
2006318950,LAPSED,CHEM 1 - Biotechnology,Bioassays
2006318951,GRANTED,MECH 2 - Construction and Mining,Methods of stabilizing unconsolidated subterranean formations
2006318966,LAPSED,MECH 1 - Mechanical Engineering,Mural support for any type of natural plants
2006318970,GRANTED,ELEC 2 - Electronics and Communications,Set of floaters for flexible submarine pipe
2006318981,CEASED,ELEC 2 - Electronics and Communications,Antistatic demonstrator
2006319000,GRANTED,CHEM 2 - Chemical Compounds,Improved semi-continuous two-component method for obtaining a composite explosive charge with polyurethane-matrix
2006319001,GRANTED,CHEM 1 - Biotechnology,"Oligonucleotides, use thereof, detecting method and kit for diagnosing the presence of H5 and N1 genes of the Influenza A virus"
2006319002,LAPSED,,Multilayer tube for transporting water or gas
2006319004,GRANTED,ELEC 2 - Electronics and Communications,Rotatable feed
2006319006,GRANTED,MECH 4 - Medical Devices,Slide-and-lock stent
2006319007,GRANTED,MECH 1 - Mechanical Engineering,Material transfer vechile for use in asphalt paving
2006319010,LAPSED,,Gondola with on-board safety and drive mechanism
2006319012,LAPSED,MECH 3 - Process Engineering,Plug device for a container and container provided with one such device
2006319021,LAPSED,,Demountable cable cutter
2006319052,GRANTED,MECH 3 - Process Engineering,Process for producing chemi-mechanical pulp
2006319056,CEASED,MECH 3 - Process Engineering,Device and method for forming elongated material
2006319060,GRANTED,ELEC 2 - Electronics and Communications,Method and system for the mass sending of messages
2006319069,CEASED,MECH 2 - Construction and Mining,Tool for handling of loads
2006319077,GRANTED,CHEM 3 - Pharmaceuticals,"Slow-release composition, method for the preparation thereof, and use of the same"
2006319085,GRANTED,MECH 4 - Medical Devices,Machine for producing water from wind energy
2006319093,LAPSED,MECH 3 - Process Engineering,Diesel engine system
2006319105,CEASED,ELEC 2 - Electronics and Communications,Optical security device offering 2D image
2006319123,GRANTED,MXT - Mixed Technology,Cooling element and method for manufacturing the same
2006319126,LAPSED,ELEC 1 - Physics,Method of and equipment for measuring ionic mobility
2006319128,GRANTED,MECH 1 - Mechanical Engineering,Threaded connections with high and low friction coatings
2006319131,CEASED,MECH 3 - Process Engineering,Electrochemical treatment of solutions containing hexavalent chromium
2006319133,LAPSED,,Low calorie fat substitute
2006319138,CEASED,CHEM 1 - Biotechnology,Polypeptide marker for the diagnosis and evaluation of vascular diseases
2006319143,CEASED,MECH 3 - Process Engineering,Process for the manufacture of lightweight construction materials containing clay
2006319147,CEASED,MECH 3 - Process Engineering,Aqueous potassium lactate solution
2006319151,LAPSED,ELEC 1 - Physics,Photovoltaic cell
2006319166,LAPSED,MXT - Mixed Technology,Means for protecting against non-authorised readings of a recording support
2006319171,CEASED,MECH 3 - Process Engineering,"Method for socket-forming an end of a thermoplastic material tube, in particular of a polyolefinic material, tube for pressurised fluids"
2006319175,LAPSED,,Base material for producing food and fodder
2006319191,GRANTED,ELEC 2 - Electronics and Communications,Tanker loading assembly
2006319206,LAPSED,CHEM 4 - Polymers and Applied Chemistry,"Use of a composition comprising pentane-1, 5-diol as deodorant"
2006319216,GRANTED,CHEM 3 - Pharmaceuticals,Induction of mucosal tolerance to antigens
2006319229,LAPSED,CHEM 2 - Chemical Compounds,Methods for synthesis of 3-amino-1-arylpropyl indoles
2006319230,LAPSED,,Glucan compositions
2006319231,LAPSED,CHEM 2 - Chemical Compounds,3-amino-1-arylpropyl indoles and aza-substituted indoles
2006319232,CEASED,CHEM 2 - Chemical Compounds,"1,1-dioxo-thiomorpholinyl indolyl methanone derivatives for use as H3 modulators"
2006319233,CEASED,CHEM 2 - Chemical Compounds,3-amino-2-arylpropyl azaindoles and uses thereof
2006319234,CEASED,CHEM 2 - Chemical Compounds,"1,5-substituted indol-2-yl amide derivatives"
2006319235,LAPSED,CHEM 2 - Chemical Compounds,5-substituted indole-2-carboxamide derivatives
2006319236,CEASED,CHEM 4 - Polymers and Applied Chemistry,Capsules
2006319244,GRANTED,CHEM 2 - Chemical Compounds,Serotonin transporter (SERT) inhibitors
2006319245,LAPSED,MXT - Mixed Technology,Novel vinylogous acids derivatives
2006319247,CEASED,CHEM 3 - Pharmaceuticals,Heteroaryl substituted piperidine derivatives as L-CPT1 inhibitors
2006319248,CEASED,CHEM 2 - Chemical Compounds,"2,4,5-triphenyl imidazoline derivatives as inhibitors of the interaction between P53 and MDM2 proteins for use as anticancer agents"
2006319259,LAPSED,,Keratin-binding effector molecules containing reactive dyes
2006319263,CEASED,CHEM 2 - Chemical Compounds,Method for producing sulfonamides
2006319353,CEASED,CHEM 1 - Biotechnology,DNA binding site of a transcriptional activator useful in gene expression
2006319358,GRANTED,CHEM 1 - Biotechnology,"Anti-Abeta globulomer antibodies, antigen-binding moieties thereof, corresponding hybridomas, nucleic acids, vectors, host cells, methods of producing said antibodies, compositions comprising said antibodies, uses of said antibodies and methods of using said antibodies"
2006319360,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Use of an additive as an agent aiding in the removal of formwork
2006319361,GRANTED,CHEM 3 - Pharmaceuticals,Radioimmunoconjugate for human CD66 for the treatment of multiple myeloma
2006319370,LAPSED,,Polymer composition having a high refractive index
2006319380,LAPSED,,Sulfamoyl sulfonate prodrugs
2006319381,LAPSED,,Heteroaromatic sulfonamide prodrugs
2006319382,LAPSED,,Prodrugs of ER-beta-selective substances method for production thereof and pharmaceutical compositions comprising the same
2006319383,LAPSED,,"Prodrug ERbeta-selective substances, methods for the production thereof and pharmaceutical compositions containing said compounds"
2006319401,LAPSED,MXT - Mixed Technology,"3-(substituted amino)-pyrazolo[3,4-d]pyrimidines as EphB and VEGFR2 kinase inhibitors"
2006319411,CEASED,"Vacant - A1 PBR, Plants and Biotechnology",Neramexane modified release matrix tablet
2006319415,GRANTED,CHEM 2 - Chemical Compounds,Multimeric complexes of antigens and an adjuvant
2006319439,GRANTED,MECH 3 - Process Engineering,Atmospheric density reference control
2006319440,GRANTED,CHEM 2 - Chemical Compounds,Chemokine-mucin fusions linked to glycosylphosphatidylinositol (GPI)-anchors in tissue regeneration and as tumour immune adjuvants
2006319462,LAPSED,MXT - Mixed Technology,Oxadiazole derivatives with CRTH2 receptor activity
2006319474,LAPSED,,Laser transfer of security features
2006319492,GRANTED,MXT - Mixed Technology,Rope containing high-performance polyethylene fibres
2006319500,LAPSED,,"Dispensing device, storage device and method for dispensing a formulation"
2006319505,LAPSED,MECH 3 - Process Engineering,Dispensing device
2006319516,GRANTED,CHEM 1 - Biotechnology,"Active ingredients for increasing a plant's defence in relation to abiotic stress, and methods for detecting said active ingredients"
2006319520,GRANTED,MXT - Mixed Technology,Decorative element for the human body
2006319527,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Liquid formulations containing dialkyl sulfosuccinate and hydroxyphenylpyruvate dioxygenase inhibitors
2006319577,LAPSED,ELEC 1 - Physics,"Sample injector, in particular for high-power liquid chromatography"
2006319584,LAPSED,ELEC 1 - Physics,Removal of embedding medium
2006319589,LAPSED,,A method and a system for theft protection of electronic equipment
2006319620,LAPSED,,Neuregulin variants and methods of screening and using thereof
2006319624,GRANTED,ELEC 2 - Electronics and Communications,A method and apparatus for realizing voice mailbox in PoC
2006319636,GRANTED,CHEM 3 - Pharmaceuticals,Four branched dendrimer-peg for conjugation to proteins and peptides
2006319649,CEASED,MECH 1 - Mechanical Engineering,"Method of, and apparatus for, optionally processing printed products"
2006319650,LAPSED,ELEC 2 - Electronics and Communications,Method and device for producing printed products
2006319651,GRANTED,MECH 2 - Construction and Mining,Washing device
2006319657,GRANTED,CHEM 3 - Pharmaceuticals,Process for the manufacture of epoxybutanol intermediates
2006319681,GRANTED,ELEC 2 - Electronics and Communications,Devices and Methods for Detecting Analytes in Fluid Samples
2006319705,LAPSED,MXT - Mixed Technology,Web-based expert system for educational therapy planning
2006319712,CEASED,CHEM 1 - Biotechnology,Novel hydroxysteroid dehydrogenase gene for alteration of plant phenotype
2006319716,CEASED,CHEM 3 - Pharmaceuticals,Lysine-based prodrugs of aspartyl protease inhibitors and processes for their preparation
2006319727,LAPSED,,Device for fastening a covering profile for the transition between two surfaces perpendicular to each other
2006319730,CEASED,MECH 5 - Packaging and Appliances,Baitfish holder fishing jig
2006319731,GRANTED,ELEC 3 - Computing,Assessment of educational services
2006319732,CEASED,CHEM 4 - Polymers and Applied Chemistry,Flyash aggregate
2006319735,GRANTED,MECH 4 - Medical Devices,Urology drape
2006319737,LAPSED,,A method of estimating pulse wave velocity
2006319738,GRANTED,ELEC 3 - Computing,A method and apparatus for storing and distributing electronic mail
2006319741,LAPSED,MECH 1 - Mechanical Engineering,Car seat pillow and trolley cushion
2006319742,LAPSED,,Retaining device
2006319743,CEASED,MXT - Mixed Technology,Handrail bracket
2006319744,GRANTED,MECH 1 - Mechanical Engineering,Access device
2006319745,GRANTED,MECH 1 - Mechanical Engineering,Tray position indicator extending down in front of the driver when the tray is in raised position
2006319746,CEASED,CHEM 4 - Polymers and Applied Chemistry,Demibodies: dimerisation-activated therapeutic agents
2006319747,CEASED,MECH 1 - Mechanical Engineering,A voice controlled blasting system
2006319748,GRANTED,CHEM 2 - Chemical Compounds,Biologically active compounds
2006319749,CEASED,CHEM 3 - Pharmaceuticals,Methods and compositions for preventing and/or treating pancreatitis
2006319755,LAPSED,MECH 2 - Construction and Mining,Apparatus for laying elongate elements
2006319757,GRANTED,MECH 1 - Mechanical Engineering,Water lance assembly
2006319761,GRANTED,ELEC 2 - Electronics and Communications,Authentication and identification system and method
2006319762,LAPSED,CHEM 2 - Chemical Compounds,Method and apparatus for manufacturing and purifying bio-diesel
2006319764,GRANTED,MECH 1 - Mechanical Engineering,Frame member for a switching cabinet rack
2006319766,GRANTED,MECH 2 - Construction and Mining,Fastening assembly
2006319787,LAPSED,,Fused heterocyclic compound
2006319796,GRANTED,MECH 2 - Construction and Mining,Unwinding machine for elastomeric fiber using OETO method
2006319801,GRANTED,MXT - Mixed Technology,Room temperature curable silicon group-containing polymer composition
2006319847,LAPSED,,Process for production of compound labeled with radioactive fluorine
2006319860,LAPSED,MECH 2 - Construction and Mining,Gun drill
2006319892,GRANTED,CHEM 2 - Chemical Compounds,Novel peptide compound
2006319916,LAPSED,,2-aminobenzamide derivative
2006319944,LAPSED,,Press belt
2006319957,GRANTED,MECH 3 - Process Engineering,Refrigeration device
2006319984,CEASED,MXT - Mixed Technology,Acid addition salt of optically active dihydropyridine derivative
2006319985,CEASED,CHEM 2 - Chemical Compounds,Acid addition salt of dihydropyridine derivative
2006319987,GRANTED,CHEM 2 - Chemical Compounds,Precursor compound of radioactive halogen labeled organic compound
2006320012,GRANTED,MECH 1 - Mechanical Engineering,"Turbine rotor blade, turbine rotor and steam turbine comprising them"
2006320033,CEASED,MECH 4 - Medical Devices,Method for reinforcing weak sealed portion of multi-chamber medical container
2006320054,CEASED,MECH 3 - Process Engineering,Refrigeration system
2006320057,LAPSED,MECH 2 - Construction and Mining,Pipe joint
2006320064,GRANTED,MXT - Mixed Technology,Image encoding/image decoding method and image encoding/image decoding apparatus
2006320066,CEASED,ELEC 1 - Physics,Metering apparatus
2006320107,GRANTED,ELEC 2 - Electronics and Communications,"Information reproducing apparatus and method, and computer program"
2006320108,LAPSED,,Gel for ultrasonic phantom
2006320139,LAPSED,,Iminopropene compound and use thereof
2006320162,CEASED,,Use of high-dose oxazaphosphorine drugs for treating immune disorders
2006320167,GRANTED,CHEM 3 - Pharmaceuticals,Methods for altering stool quality and/or stool frequency
2006320168,CEASED,CHEM 1 - Biotechnology,Compositions and methods for increasing production of recombinant gamma-carboxylated proteins
2006320176,LAPSED,,Method and apparatus for contemporaneous formation of a body structure opening and homologous pedicle
2006320184,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Cleaning compositions and methods
2006320203,GRANTED,ELEC 3 - Computing,Method and apparatus for providing authentication credentials from a proxy server to a virtualized computing environment to access a remote resource
2006320207,LAPSED,MECH 4 - Medical Devices,Bone and cartilage implant delivery device
2006320231,LAPSED,MECH 4 - Medical Devices,"Nasal congestion, obstruction relief, and drug delivery"
2006320240,LAPSED,ELEC 1 - Physics,Means and method for electrically connecting photovoltaic cells in a solar module
2006320245,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Composition and method for preventing or treating urolithiasis
2006320246,LAPSED,,Polyvalent chimeric OspC vaccinogen and diagnostic antigen
2006320247,GRANTED,MECH 2 - Construction and Mining,Roof drilling system improvements
2006320255,GRANTED,MECH 3 - Process Engineering,Inhibiting naphthenate solids and emulsions in crude oil
2006320257,LAPSED,MECH 3 - Process Engineering,Valve for an inflatable product
2006320264,LAPSED,MXT - Mixed Technology,Composition and use of phyto-percolate for treatment of disease
2006320275,GRANTED,CHEM 1 - Biotechnology,Synthesis of error-minimized nucleic acid molecules
2006320278,LAPSED,,Low thermal expansion foundry media
2006320297,LAPSED,,Conveyor lubricating apparatus
2006320303,LAPSED,ELEC 2 - Electronics and Communications,Multi-band frequency generation method and apparatus
2006320307,CEASED,MECH 3 - Process Engineering,Aqueous composition and method for imparting resistance to stain absorption
2006320315,LAPSED,,Methods and compositions for improving plant growth
2006320316,GRANTED,MECH 4 - Medical Devices,Gas blender with auxiliary mixed gas outlet
2006320324,GRANTED,MXT - Mixed Technology,Remote read-write access to disparate data stores
2006320327,LAPSED,,Compounds and methods for inhibiting apoptosis
2006320334,LAPSED,ELEC 2 - Electronics and Communications,Container verification system for non-invasive detection of contents
2006320353,LAPSED,,Processes for obtaining lignan extracts and compositions containing the lignan extracts
2006320355,LAPSED,,Online marketplace for animal genetics
2006320361,GRANTED,CHEM 1 - Biotechnology,Angiogenic tyrosyl tRNA synthetase compositions and methods
2006320362,LAPSED,MXT - Mixed Technology,Carbon-based foam nanocomposite hydrogen storage material
2006320370,GRANTED,MECH 4 - Medical Devices,"Open wedge, high bitial osteotomy method and apparatus"
2006320374,CEASED,CHEM 2 - Chemical Compounds,"Antibacterial 4,5-substituted aminoglycoside analogs having multiple substituents"
2006320384,GRANTED,CHEM 1 - Biotechnology,Methods of diagnosing inflammatory bowel disease
2006320388,LAPSED,,"Stable pharmaceutical compositions of 5,10 methylenetetrahydrofolate"
2006320392,GRANTED,CHEM 1 - Biotechnology,Monoclonal antibodies against amyloid beta protein and uses thereof
2006320394,GRANTED,MECH 1 - Mechanical Engineering,Conductive gasket apparatus and method
2006320414,GRANTED,CHEM 1 - Biotechnology,Mitigation of photodamage in analytical reactions
2006320418,GRANTED,MECH 1 - Mechanical Engineering,Advanced capillary force vaporizers
2006320423,CEASED,MXT - Mixed Technology,5-(arylsulfonyl)-pyrazolopiperidines
2006320425,GRANTED,MECH 4 - Medical Devices,Fitting a neural prosthesis using impedance and electrode height
2006320431,GRANTED,MECH 3 - Process Engineering,Interlayers for laminated safety glass with superior de-airing and laminating properties and process for making the same
2006320435,LAPSED,,Compositions containing ansamycin
2006320440,GRANTED,CHEM 2 - Chemical Compounds,Substituted 4-amino-pyrrolotriazine derivatives useful for treating hyper-proliferative disorders and diseases associated with angiogenesis
2006320444,LAPSED,MECH 4 - Medical Devices,Transvisceral neurostimulation mapping device and method
2006320453,LAPSED,ELEC 3 - Computing,Methods and systems for managing aircraft maintenance and material supply
2006320479,GRANTED,CHEM 3 - Pharmaceuticals,Treatment of conditions involving demyelination
2006320480,GRANTED,CHEM 2 - Chemical Compounds,Substituted 4-amino-pyrrolotriazine derivatives useful for treating hyper-proliferative disorders and diseases associated with angiogenesis
2006320482,GRANTED,MECH 4 - Medical Devices,"Oral care compositions, methods, devices and systems"
2006320483,LAPSED,MECH 3 - Process Engineering,Spray booth and method for coating the human body with sunscreen or the like
2006320488,LAPSED,,Methods to ameliorate and image angioplasty-induced vascular injury
2006320490,LAPSED,,Chimeric viruses presenting non-native surface proteins and uses thereof
2006320505,LAPSED,ELEC 1 - Physics,Internally illuminated retroreflective device
2006320507,GRANTED,MECH 4 - Medical Devices,"Devices, systems, and methods for occluding a defect"
2006320515,GRANTED,MECH 1 - Mechanical Engineering,Wave energy converter utilizing internal reaction mass and spring
2006320516,GRANTED,CHEM 1 - Biotechnology,GRG23 and GRG51 genes conferring herbicide resistance
2006320535,CEASED,CHEM 3 - Pharmaceuticals,Treatment method
2006320538,GRANTED,MXT - Mixed Technology,Treatment of xerostomia with a sulfur-containing antioxidant
2006320541,CEASED,CHEM 1 - Biotechnology,Methods and systems for designing primers and probes
2006320553,LAPSED,MXT - Mixed Technology,Cabinet monitoring and reporting apparatus and system
2006320556,LAPSED,MXT - Mixed Technology,Isotopically-labeled benzothiazole compounds as imaging agents for amyloidogenic proteins
2006320559,GRANTED,CHEM 1 - Biotechnology,Markers for breast cancer
2006320561,LAPSED,MECH 3 - Process Engineering,Water-based fire resistant lubricant
2006320567,LAPSED,,Inhibitors of kynurenine aminotransferase and uses therefor
2006320570,LAPSED,MECH 4 - Medical Devices,Optical therapeutic treatment device
2006320576,LAPSED,,Thermoplastic film for graphical applications and method for making the same
2006320577,GRANTED,MECH 3 - Process Engineering,Thermoplastic resin compositions suitable for use in laminated safety glass
